# Preprocessed by replacing every named entities by their label, directly in the text
science_related,scientific_claim,scientific_reference,scientific_context,tokens
1,1.0,0.0,0.0,warning bible reading habit form cause loss fear anxiety side effect joy love peace contentment
1,1.0,0.0,1.0,hashtag trainhealth research find improvement sleep quality link weight loss mean flat stomach mean well sleep
0,0.0,0.0,0.0,niggas jus need live stop stressing
0,0.0,0.0,0.0,north korea put yorkshire terriers zoo url
0,0.0,0.0,0.0,person hashtag gop hashtag immigrationreform still hand hashtag latism stop fight hashtag tntweeter person url
1,0.0,1.0,1.0,new hiv breakthroughs mean future disease healthy living yahoo shine url
1,1.0,1.0,1.0,spice diet great fat loss url
0,0.0,0.0,0.0,retirement home law need review person report hashtag number url
1,0.0,1.0,1.0,digital life look decade prediction optimistic mind control url
1,0.0,1.0,1.0,person small step man quantum leap particle kind url url url
1,1.0,0.0,0.0,determination lead success good day life hashtag nowplaying
0,0.0,0.0,0.0,blonde girl starts masturbate leads quick fuck url hashtag movie hashtag music hashtag ass hashtag lol hashtag video
0,0.0,0.0,0.0,url specialise provide modular ground study course require convert icao professional
0,0.0,0.0,0.0,more great printing work person help launch new brand identity url
0,0.0,0.0,0.0,person deep get stop so deep
0,0.0,0.0,0.0,find alien exercise
0,0.0,0.0,0.0,underground just stop hoe emoticon emoticon emoticon
1,0.0,1.0,1.0,neurobiological bases abnormal aggression violent behaviour url
0,0.0,0.0,0.0,raise number money place martin salary number money eighth sec
1,1.0,0.0,0.0,dark skin protector against cancer url
0,0.0,0.0,0.0,missouri senate pass sale tax increase road breakingnews kansascity url
1,1.0,0.0,1.0,leed certify building often less energy efficient un certify one url
0,0.0,0.0,0.0,job durham nc sr network security engineer support network based security infrastructure provide sec url
0,0.0,0.0,0.0,may special sign number money number money saving need more money love candle work home selling url
0,0.0,0.0,0.0,hate people take good pic zayn stop take so many grease ball
0,0.0,0.0,0.0,unbelievable day hashtag today so many people say same thing one else do stop friday learn
1,1.0,0.0,0.0,number surprising ways social media affecting healthcare social medium frontiers url
0,0.0,0.0,0.0,person song basically start trend stop bully emoticon hashtag
1,1.0,0.0,0.0,hashtag beijing hashtag china see significant increase armed hashtag police presence street url
0,0.0,0.0,0.0,photo san diego wildfire lead evacuation number home washington post url
1,1.0,1.0,1.0,uk population eat too much sugar saturate fat salt url
0,0.0,0.0,0.0,even superman have get job moral story stop save free hashtag flye url
0,0.0,0.0,0.0,person desoto need stop spend money football team win state fix bathroom emoticon emoticon emoticon emoticon
0,0.0,0.0,0.0,selector infected wixoss cause sharp decline card sales url
0,0.0,0.0,0.0,miss june vruc hashtag jazz hashtag clm meeting deliver better requirements expert systems url hashtag rationaluc
1,0.0,1.0,1.0,person new york state set precedent pass law support quackery here great post url
0,0.0,0.0,0.0,person person hashtag projectxvegeta support immense description
0,0.0,0.0,0.0,polygamisogynist number peaceful tolerant have number wife treat unkind unequalitarian manner
0,0.0,0.0,0.0,soccer twitter promote number sport
0,0.0,0.0,0.0,honestly surprised iran win upset theme world cup
0,0.0,0.0,0.0,weight loss plateau cause solutions frustrating problem url htt http url
0,0.0,0.0,0.0,people jealous automatically call justin associate hoe thot like stop
1,0.0,0.0,1.0,person person hashtag iteams research url hashtag innovation hashtag publicsector
0,0.0,0.0,0.0,birthday dinner biscuit rice krispie treat courtesy person solid minute home tumbling church emoticon hashtag hangry
0,0.0,0.0,0.0,smoke cigarette turn emoticon
0,0.0,0.0,0.0,come bus stop watch firework emoticon
0,0.0,0.0,0.0,people got stop international shirt today start wear american shirt hashtag usa
0,0.0,0.0,0.0,learn yesterday live today hope tomorrow important thing stop question albert einstein
0,0.0,0.0,0.0,pray eat note scholar call rhetorical question hashtag firstdatequestion
0,0.0,0.0,0.0,truuu person mixed signal bitch lol
1,1.0,1.0,1.0,number cbs census data show shortage stem workers url hashtag wiunion
0,0.0,0.0,0.0,person lady stop knee high gladiator sandal pls hashtag fixitjesus
0,0.0,0.0,0.0,person person please help support movie base true story writer url hashtag jacobandi
0,0.0,0.0,0.0,bird stop cherpe
0,0.0,0.0,0.0,person person person person person same people believe statistic science
0,0.0,0.0,0.0,head coach survey scene heritage park url
1,1.0,0.0,0.0,adversity cause man break other break record
0,0.0,0.0,0.0,disabled vehicle center lane block rt number nb ex rt stop go traffic ex rt delay number min hashtag traffic
0,0.0,0.0,0.0,hashtag telaviv israelis protest hashtag gazaunderattack call israeli government stop attack url
0,0.0,0.0,0.0,magic little grant wish reality
0,0.0,0.0,0.0,person proud associate rox well organise professionally run oh great hospitality thank
0,0.0,0.0,0.0,make sure get mate person gig tomorrow raise money amazing too person url
0,0.0,0.0,0.0,environmental lawyer real thing think fictional occupation create person person url
0,0.0,0.0,0.0,attorney dea announce result invest distribution performance enhance drug minor athlete miami
0,0.0,0.0,0.0,person also url report down
1,1.0,0.0,0.0,take aspirin day year cut chance bowel stomach cancer increase chance stroke internal bleeding
0,0.0,0.0,0.0,person person person lovely night again lady get stop espresso martini though
0,0.0,0.0,0.0,number rat tumor hashtag mtvhottest example
0,0.0,0.0,0.0,all probably flea color throwing up get stop point right emoticon
0,0.0,0.0,0.0,min person process finalize scholar trans policy address safety learner school
1,1.0,0.0,1.0,new study suggest marijuana increase positivity reduce negativity emotional processing
1,1.0,0.0,0.0,overthinke lead negative thought
1,1.0,0.0,0.0,furthermore drink more water alone actually aid lose weight
1,1.0,1.0,1.0,desperate climate scam scientist explain record high antarctic sea ice extent cause global warming url
0,0.0,0.0,0.0,tune dawn news hear great expert analysis zafar hilali
0,0.0,0.0,0.0,person pick bad ex bielema ark support research cfb coach overpay url
1,1.0,1.0,1.0,aggregate economic rate return foreign hashtag aid channing arndt sam jones finn tarp wider url
1,0.0,1.0,1.0,concussion breathalyser propose url publish september number
0,0.0,0.0,0.0,next profit economic revival next report strong rise half year profit high house price an url
1,0.0,1.0,1.0,hashtag implementationscience article describe intervention program aim reduce late life depression symptom
0,0.0,0.0,0.0,child fallen soldiers relief support survive military child visit hashtag donate url hashtag va hashtag dav
0,0.0,0.0,0.0,cosplay video interview atc femme fatale nicole salera see video interview url
1,1.0,0.0,0.0,also cancer virtually incurable cancer different
0,0.0,0.0,0.0,check overview encouraging hashtag bible study book load benefit url hashtag christian hashtag jesus
0,0.0,0.0,0.0,person research say fire missle center scar appear plane explode there metal
0,0.0,0.0,0.0,student need support team peer exceed expectation quiet doubter deserve presence
0,0.0,0.0,0.0,thank recent love support twitch yt give huge person bundle soon so stay tuned
0,0.0,0.0,0.0,search warrant lead arrest cocaine sales pleasanton url
0,0.0,0.0,0.0,number real life dolls creepier annabelle number real life doll number time scary annabelle no really
0,0.0,0.0,0.0,bali women number smooth you side support underwire bra style number hashtag number url url
0,0.0,0.0,0.0,vice president biden visit likely cause delay rush hour here list area avoid url
0,0.0,0.0,0.0,full extend bro stop person person welcome kobe url push emoticon emoticon emoticon
1,1.0,0.0,0.0,ebola health care system mishap
0,0.0,0.0,0.0,social media unnecessary thing cause so much drama
0,0.0,0.0,0.0,wait childish let stop emoticon lol
0,0.0,0.0,0.0,person person tag report number other ppls hashtag austinmahonesexiest
0,0.0,0.0,0.0,monday drag
0,0.0,0.0,0.0,hashtag ebola discuss school use blog promote hashtag factsnotfear url number more blog out week person
0,0.0,0.0,0.0,day end qe torrent earning report continue major stock index future low number percent
0,0.0,0.0,0.0,mr chakane thank medium psl saps safa global icon south africans support meyiwas mulaudzis mwelases
1,0.0,0.0,1.0,lupus research institute awards number money discover cause lupus url
0,0.0,0.0,0.0,person report problem flight url
1,1.0,1.0,1.0,know eat affect productivity level url
0,0.0,0.0,0.0,function human brain url
0,0.0,0.0,0.0,student stop student center sign poster lunch time wish women soccer team good luck url
0,0.0,0.0,0.0,plan hashtag pizza treat saturday check person change identity url
1,1.0,0.0,0.0,perfect tooth turn
1,1.0,1.0,1.0,fifth us high school student use tobacco find survey url
0,0.0,0.0,0.0,people treat physical illness mental illness url
1,1.0,1.0,1.0,excessive drinking woman number drink number occasion oei most heavy drinkers alcoholic url
0,0.0,0.0,0.0,sono release controller update ios android multi account support more url hashtag music hashtag sound hashtag premiumaudio
1,1.0,0.0,1.0,hearingloss occur gradually age hashtag diabetes play role url url rt
0,0.0,0.0,0.0,speak softly carry person fbi reportviolent crime continue decrease gun sale esc
0,0.0,0.0,0.0,person idea smash have huge increase yesterday like number entrant nowhere
0,0.0,0.0,0.0,number pure red car smd brake tail stop light lead bulbs full read ebay price usd url
0,0.0,0.0,0.0,need tell santa check list twice still prevent time check time use attack
0,0.0,0.0,0.0,hashtag florida courthouse stop wedding avoid perform hashtag gay ceremony url hashtag gaymarriage hashtag gayright
0,0.0,0.0,0.0,hashtag rezissocold call radio station rezroad report am get frozen injun insurance quote jake statefarm
1,1.0,1.0,1.0,climate change cause irreversible impacts action take ipcc nature world news url
0,0.0,0.0,0.0,day stop sex please url hashtag brazzer hashtag realityking hashtag mofos hashtag hashtag nsfw hashtag porn hashtag sex hashtag hot
0,0.0,0.0,0.0,person baker stop make doughnut get tired hole thing follow smile please love
0,0.0,0.0,0.0,indonesia retrieve crash airasia flight data recorder channel news asia url
0,0.0,0.0,0.0,beagle url find bloody thing
0,0.0,0.0,0.0,person due process justice
0,0.0,0.0,0.0,person need more money black clothe
0,0.0,0.0,0.0,person campaigner gather preston hand signature petition urge lancs co co stop hashtag fracke url
0,0.0,0.0,0.0,mfs go datum plan just twatch people emoticon emoticon
0,0.0,0.0,0.0,first gig person didcot support excellent person fri feb url person
0,0.0,0.0,0.0,hashtag ff person prove friendship much more high nationality buzz follow awesome tweet tl emoticon emoticon emoticon emoticon emoticon
1,1.0,0.0,0.0,person nuclear weapon real deadly problem entire popul world deal url hashtag
0,0.0,0.0,0.0,bundle resource bundle resource simple module provide separate service resource entry nod url
0,0.0,0.0,0.0,video engineer integrate hashtag desktop hashtag mobile url hashtag futureofwork
1,1.0,0.0,0.0,macroeconomic impact micro intervention important reason poverty persist url
0,0.0,0.0,0.0,twitter roll update introduce group messaging video support url hashtag android url
1,0.0,1.0,1.0,big data big obstacles social science hashtag bigdata ty person et al url person
0,0.0,0.0,0.0,join team need more info email bgaribaldi person hashtag getconnecte url
0,0.0,0.0,0.0,person get a game easy hell bart oppose giants game cool
1,1.0,1.0,1.0,depression underreporte man url
0,0.0,0.0,0.0,eyeball tattoos bizarre disturbing new trend url url
0,0.0,0.0,0.0,rt person legislation increase transparency rfp process approve full ga today thank person patrone
0,0.0,0.0,0.0,lol niggas dark movie scene need more lighting
1,0.0,0.0,1.0,house science committee anti nsf witch hunt now demand information grant physical science url
1,0.0,1.0,1.0,cope level explanation behavioral science url
1,1.0,0.0,0.0,check b healing stone magnet pillow stop pain body url person
1,0.0,1.0,1.0,diabetes research new registry aim improve outcomes url hashtag ncdr
0,0.0,0.0,0.0,icymi harrison ford fair moderate condition crash plane us report say url url
1,1.0,1.0,1.0,psychedelic drug use reduce psychological distress suicidal thinking hashtag science url url
0,0.0,0.0,0.0,relationship look good paper be few t more leo url
1,1.0,1.0,1.0,cassini confirm hydrothermal activity ocean saturn moon brooks hayswashington march upi nas url
0,0.0,0.0,0.0,relationship look good paper be few t more leo url
1,1.0,1.0,1.0,people sight loss face number percent high cost everyday living say new study url
1,0.0,1.0,1.0,person new test tube study dietary functional benefit bartlet url hashtag
0,0.0,0.0,0.0,marc marc jacobs fold person line report person url hashtag fashion hashtag retail
0,0.0,0.0,0.0,country hold number kurds find pro kurdish protest wrong avidly support pro palestine one url
1,0.0,1.0,1.0,european union turkey post arab spring era mapping strategic interests turbulent neighborhood url
0,0.0,0.0,0.0,chance person person comment increase confidence police positive way
0,0.0,0.0,0.0,foot gas just tryin pass red light stop sign
1,1.0,0.0,0.0,company report number percent increase attempt cyber security breach url hashtag dginsights hashtag cybersecurity url
1,1.0,1.0,1.0,study shift electricity generation spur net job growth coal job decline person url
0,0.0,0.0,0.0,horse chase lead arrest beat url url
0,0.0,0.0,0.0,overzealous dangerous patriotism school nurse refuse treat student stand pledge allegiance url
0,0.0,0.0,0.0,person person just need more playing time other good frustrating
1,1.0,0.0,0.0,coumadin decrease sex drive man url
0,0.0,0.0,0.0,reason be disproportionate number patriots fan work white house
0,0.0,0.0,0.0,approx number house collapse hashtag barpak hashtag gorkha epicenter hashtag nepalquake report state radio reporter hashtag gorkha
0,0.0,0.0,0.0,child molester dream rt person parent urge support free range cont url
0,0.0,0.0,0.0,cyber security webinar start now challenges associate defend cyber threats url
0,0.0,0.0,0.0,own idea hidden ammonite loaf hammer person geologist despair hashtag geobakeoff url
1,1.0,1.0,1.0,organic feed world url
1,1.0,0.0,0.0,more sex lead more happiness reveal new study surprised tech times url
0,0.0,0.0,0.0,nuke deal hashtag iran increase terror hashtag islamicextremism hashtag stopgodfatherofisis see emoticon video clip emoticon url url
1,0.0,1.0,1.0,hashtag dressgate number research team explore science hashtag blueandblack hashtag whiteandgold dress url person
0,0.0,0.0,0.0,spc tornado watch number status reports url
1,0.0,0.0,1.0,hashtag support research thalassemia aids cure
0,0.0,0.0,0.0,person london guardians feature jaza stop buy dolphin taiji url hashtag thecove
0,0.0,0.0,0.0,wistrich last article stop downplay hashtag antisemitism muslim world world stage url url
1,1.0,0.0,0.0,hashtag physicalactivity imp age esp help strengthen bone muscle prevent fall hashtag activeageing url
0,0.0,0.0,0.0,person honor prior tonight person game first pitch get there around support rams hashtag letsgovcu
1,1.0,1.0,1.0,virgin bear sawfish first wild url url
0,0.0,0.0,0.0,look number person ktla story step member monday pm special thank number person number support url
0,0.0,0.0,0.0,dear telltale stop suck game thrones dick make tale borderlands sincerely trustfungus
0,0.0,0.0,0.0,thank support emoticon emoticon hashtag hawaii hashtag oahu hashtag lunch hashtag sunday hashtag cardio hashtag fitness hashtag fitspo hashtag cool url
0,0.0,0.0,0.0,update police identify find dead house fire release url
1,1.0,0.0,0.0,beauty tips blood sugar support cardiovascular health dietary supplement number bottles url hashtag number
0,0.0,0.0,0.0,hashtag weightloss hashtag program conquering excess weight diet program failure statistics url hashtag ladygaga hashtag diet
1,1.0,1.0,1.0,near fast day month reduce body fat study find w link url url
1,0.0,1.0,1.0,treatment hashtag metastaticcolorectalcancer focus hashtag panitumumab url url
0,0.0,0.0,0.0,be medicine man treat hashtag fakecase hashtag hashtag purushayog url person
0,0.0,0.0,0.0,person nickie saw make twit support page plz send info group mention email person
0,0.0,0.0,0.0,mazda open le mans hour return engineer charge win car tell tg want url hashtag car
0,0.0,0.0,0.0,quick water stop person liverpool hashtag gottahydrate url
0,0.0,0.0,0.0,student life hashtag number valentine hashtag date metrosexuality lower body strength url hashtag rtbyme hashtag chivalry
0,0.0,0.0,0.0,hashtag polita eric abetz threaten state liberals support marriage equality man thug stand liberals conscience
1,1.0,0.0,0.0,pain change people
0,0.0,0.0,0.0,political science url
1,1.0,0.0,1.0,earth science examine structure composition planet url
0,0.0,0.0,0.0,people hate stupid hashtag dontjudgechallenge need stop so sensitive get social medium
1,1.0,0.0,0.0,carbon footprint glass milk shrink number last year improved health nutrition genetic hashtag
0,0.0,0.0,0.0,magic emoticon emoticon hashtag weirdwater hashtag science hashtag url url
0,0.0,0.0,0.0,person local nc rap artist look gain local support hashtag followback very much appreciate thank
0,0.0,0.0,0.0,yes gilinsky look so much more sexy johnson mean support number jack only hashtag johnsonmatter
0,0.0,0.0,0.0,new post hashtag beertoday hashtag beer kernel stop saturday bar session url kernel brewery london cease
0,0.0,0.0,0.0,marilyn go great day live promote cruisin heartland url
0,0.0,0.0,0.0,number finns support hashtag fennovoima nuclear plant url
0,0.0,0.0,0.0,next time look bella notice number shoulder high other ogre
0,0.0,0.0,0.0,person person person girl now build bridge heavens stop there
0,0.0,0.0,0.0,turkey provide air support hashtag syria opposition url hashtag breaking hashtag lemonde hashtag news
1,1.0,0.0,0.0,hashtag deal new improved unique color therapy lamps light promotes wellness health url hashtag beauty url
0,0.0,0.0,0.0,person mait devoted number promote stds open tech long pende national centre e gov stds tech person hashtag sme
0,0.0,0.0,0.0,carrefour reports sharp decline profit url hashtag wsj hashtag usbusiness url url
1,1.0,1.0,1.0,brain extraordinarily good alert threat url
1,1.0,1.0,1.0,woman feel temperature differently man woman feel temperature differently man url
0,0.0,0.0,0.0,take constant break about day now stop pls
0,0.0,0.0,0.0,ariwinokur rate question google analytics gb space more url
1,1.0,1.0,1.0,weed good bone yes stephanie pappas live science contributor url url
1,1.0,0.0,0.0,fart help reduce high blood pressure good health funny healthy url hashtag physio hashtag hert
0,0.0,0.0,0.0,retweet know game fav join war search disciples need more consistent people emoticon url
1,1.0,1.0,1.0,hashtag climatechange rise temp increase hashtag health hashtag risk several way url hashtag climateaction url
0,0.0,0.0,0.0,person tell fulani settler stop intimidate terrorise indigenous nation westafrica url
0,0.0,0.0,0.0,black man stop have sex black hooker url
0,0.0,0.0,0.0,bill stop police cellphone intrusions pass legislature hashtag news hashtag la hashtag losangeles url
0,0.0,0.0,0.0,video process hand make book old fashioned way lost magical art url
1,0.0,1.0,1.0,understand public perception risk regard outdoor pet cat inform hashtag conservation action hashtag acceptedarticle url
0,0.0,0.0,0.0,patient prolong undiagnosed medical condition sign national person program seek answer url hashtag rarepov
0,0.0,0.0,0.0,uk government act stop council divest israeli occupation url hashtag bds hashtag armstrade
1,1.0,0.0,0.0,happy less sleep require function everyday life sadness increase urge sleep more
0,0.0,0.0,0.0,person good point url
0,0.0,0.0,0.0,alternative ways get menstrual pain relief url
1,1.0,0.0,0.0,high school fact change people
0,0.0,0.0,0.0,lubicon cree nation turn solar power end fossil fuel nightmare please support coverage url person
0,0.0,0.0,0.0,interest somehow person hashtag hashtag
0,0.0,0.0,0.0,tomato planting tips lead healthy tomato plant url
0,0.0,0.0,0.0,support direct community learn stop destructive mining project oaxaca url url
0,0.0,0.0,0.0,norad blimp loose blimp associate norad surveillance east coast become untethered url
0,0.0,0.0,0.0,samsung display technologies support vision affordable excellence high education url url
0,0.0,0.0,0.0,underwear stop fly
1,0.0,1.0,1.0,hashtag eurekamag development monozoic form echinococcus granulosus culture url
0,0.0,0.0,0.0,hope ion get talk judge go look high hell
1,0.0,0.0,1.0,george hashtag boole boolean logic inventor b otd cork plaque url hashtag person url
1,0.0,1.0,1.0,hashtag eurekamag culture schistosoma haematobium effect immune sera url
0,0.0,0.0,0.0,always apply title make introduction good judgment good manner must
1,0.0,1.0,1.0,hashtag eurekamag consumption fate aflatoxin number lactate cow url
0,0.0,0.0,0.0,hashtag new habit start now change life join facebook group support url
0,0.0,0.0,0.0,usb quick connect mini portable dr video recording camera url url
0,0.0,0.0,0.0,hashtag lebanon lufthansa cabin crew strike affect number passenger url via person
0,0.0,0.0,0.0,person want murder stop sidewalk cafe attend concert
0,0.0,0.0,0.0,number live ticket pick number many associate group
0,0.0,0.0,0.0,epilepsy vaccination url tvm person find heart feel get well wish person jeremey emoticon
1,0.0,1.0,1.0,ptsd twice likely for url hashtag conscioushealthsolution hashtag health
0,0.0,0.0,0.0,person accord delusional leftist academic interview person good way number stop isis terror ostracise muslims
1,1.0,1.0,1.0,study find number percent earth modern groundwater renewable human lifetime earth changes url
0,0.0,0.0,0.0,attenborough solar energy undercut oil bang money url
0,0.0,0.0,0.0,india stand hashtag chennai hashtag aap mla increase salary
0,0.0,0.0,0.0,hashtag honduran army go war invade bug url
1,1.0,0.0,0.0,low sun angle reflective surface fresh snow slow melting process snowpack hashtag ndwx url
0,0.0,0.0,0.0,so stripper just wait save stop stripper
1,1.0,1.0,1.0,hashtag climatechange affect food security url hashtag url
0,0.0,0.0,0.0,lady date busty gentleman wear manssiere titty support
0,0.0,0.0,0.0,cyberanonymous reuters armed man shoot pennsylvania walmart report url url
1,0.0,0.0,1.0,video keith flaherty talk genetic cancer hashtag targetedtherapy hashtag clinicaltrial precision medicine url
0,0.0,0.0,0.0,hashtag usafricabf notice paris teacher stab man yell support hashtag isis url url
0,0.0,0.0,0.0,person stop life emoticon
1,1.0,1.0,1.0,speak galaxy milky way now visible person person soho lasco image url url
1,1.0,1.0,1.0,mactive study use personalized text pedometer smartphone increase physical activity url hashtag activitytracker
0,0.0,0.0,0.0,good web hosting free domain free site builders free support day money back guarantee url
0,0.0,0.0,0.0,good morning person supporters emoticon follow support official hashtag bhc handle hashtag india person rt tweet plz
0,0.0,0.0,0.0,person hello discover secret force enable person evolve superman check url
1,1.0,0.0,0.0,proof gun bans increase murder rates url url
0,0.0,0.0,0.0,url new edit wikipedia article spatial analysis url url
1,0.0,1.0,1.0,hashtag eurekamag thirteenth swedish weed conference url
1,0.0,1.0,1.0,hashtag eurekamag thematic role aphasia conceptual knowledge linguistic assignment url
1,0.0,1.0,1.0,bayes theorem big deal url url
1,1.0,1.0,1.0,upright position first stage labour reduce duration labour risk c section url
1,1.0,0.0,0.0,hard work never fail start work stop complain work appreciate emoticon
1,1.0,1.0,1.0,hashtag eurekamag eclosion hormone release brain action central nervous system silk moth url
